52800,2,3
52800,2,1
52800,3,3
52800,2,4
52800,2,3
52800,1,2
52800,1,2
52800,3,2
52800,2,2
52800,3,3
52800,3,3
52800,2,5
52800,3,2
52800,3,3
52800,2,2
52800,3,2
52800,2,4
52800,4,3
52800,2,3
52800,2,2
52800,2,2
52800,4,2
52800,2,3
52800,1,4
52800,4,2
52800,3,2
52800,2,2
52800,2,2
52800,2,3
52800,2,3
52800,3,5
52800,5,3
52800,4,3
52800,2,3
52800,5,2
52800,6,2
52800,4,3
52800,4,2
52800,3,2
52800,3,2
52800,3,4
52800,6,2
52800,3,1
52800,4,2
52800,3,5
52800,3,2
52800,3,3
52800,5,2
52800,5,2
52800,3,3
52800,2,3
52800,6,3
52800,2,2
52800,3,3
52800,3,2
52800,2,4
52800,3,4
52800,3,2
52800,5,3
52800,5,3
52800,2,3
52800,3,2
52800,2,2
52800,5,2
52800,5,2
52800,1,2
52800,3,2
52800,5,2
52800,4,3
52800,6,2
52800,5,2
52800,3,2
52800,5,2
52800,4,2
52800,1,2
52800,4,2
52800,4,2
52800,6,2
52800,2,3
52800,5,2
52800,6,2
52800,3,3
52800,3,2
52800,4,3
52800,4,2
52800,8,3
52800,3,2
52800,7,2
52800,7,4
52800,2,5
52800,5,3
52800,4,5
52800,4,5
52800,1,36
52800,4,45
52800,4,9
52800,4,3
52800,3,2
52800,4,2
52800,5,1
52800,5,2
52800,2,3
52800,5,32
52800,6,3
52800,6,4
52800,4,4
52800,5,5
52800,4,4
52800,4,2
52800,5,4
52800,7,3
52800,6,2
52800,4,5
52800,5,4
52800,10,2
52800,5,2
52800,4,2
52800,4,2
52800,3,2
52800,4,1
52800,5,3
52800,4,2
52800,5,2
52800,4,4
52800,5,3
52800,7,3
52800,5,2
52800,8,2
52800,5,2
52800,5,2
52800,7,2
52800,8,2
52800,4,2
52800,5,2
52800,6,2
52800,4,2
52800,4,2
52800,3,3
52800,5,3
52800,6,3
52800,8,3
52800,7,2
52800,5,2
52800,5,2
52800,5,1
52800,5,4
52800,7,2
52800,8,2
52800,5,2
52800,3,2
52800,4,1
52800,7,2
52800,3,1
52800,4,3
52800,4,3
52800,3,4
52800,5,3
52800,6,3
52800,6,2
52800,5,3
52800,2,4
52800,5,3
52800,3,3
52800,4,2
52800,5,2
52800,5,2
52800,3,2
52800,3,2
52800,5,2
52800,7,3
52800,7,2
52800,8,3
52800,5,2
52800,6,2
52800,6,2
52800,6,4
52800,5,3
52800,5,2
52800,4,2
52800,6,2
52800,5,2
52800,6,1
52800,3,1
52800,4,1
52800,5,2
52800,3,2
52800,6,1
52800,2,2
52800,6,3
52800,6,2
52800,5,3
52800,7,2
52800,3,2
52800,8,2
52800,6,4
52800,4,3
52800,4,2
52800,6,2
52800,6,2
52800,7,5
52800,5,3
52800,4,2
52800,4,3
52800,9,2
